,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ApplicantIncome_log,LoanAmount_log,Loan_Amount_Term_log
0,LP001002,Male,No,0,Graduate,No,5849.0,0.0,144.4104843471747,360.0,1.0,Urban,Y,8.674196940225903,4.842621103180357,5.8888779583328805
1,LP001003,Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,N,8.430327258394575,4.859812404361672,5.8888779583328805
2,LP001005,Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,Y,8.006700845440367,4.204692619390966,5.8888779583328805
3,LP001006,Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,Y,7.857093864902493,4.795790545596741,5.8888779583328805
4,LP001008,Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,Y,8.699681400989514,4.955827057601261,5.8888779583328805
5,LP001011,Male,Yes,2,Graduate,Yes,5417.0,4196.0,267.0,360.0,1.0,Urban,Y,8.59748202264504,5.5909869805108565,5.8888779583328805
6,LP001013,Male,Yes,0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1.0,Urban,Y,7.755338812846501,4.564348191467836,5.8888779583328805
7,LP001014,Male,Yes,3,Graduate,No,3036.0,2504.0,158.0,360.0,0.0,Semiurban,N,8.01862546504575,5.0689042022202315,5.8888779583328805
8,LP001018,Male,Yes,2,Graduate,No,4006.0,1526.0,168.0,360.0,1.0,Urban,Y,8.295798110636145,5.1298987149230735,5.8888779583328805
9,LP001020,Male,Yes,1,Graduate,No,12841.0,10968.0,349.0,360.0,1.0,Semiurban,N,9.460476328353995,5.857933154483459,5.8888779583328805
10,LP001024,Male,Yes,2,Graduate,No,3200.0,700.0,70.0,360.0,1.0,Urban,Y,8.071218539969863,4.2626798770413155,5.8888779583328805
11,LP001027,Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,Y,7.824445930877619,4.700480365792417,5.8888779583328805
12,LP001028,Male,Yes,2,Graduate,No,3073.0,8106.0,200.0,360.0,1.0,Urban,Y,8.03073492409854,5.303304908059076,5.8888779583328805
13,LP001029,Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,N,7.5251007461258,4.74493212836325,5.8888779583328805
14,LP001030,Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,Y,7.170119543449628,2.8903717578961645,4.795790545596741
15,LP001032,Male,No,0,Graduate,No,4950.0,0.0,125.0,360.0,1.0,Urban,Y,8.507344855361422,4.836281906951478,5.8888779583328805
16,LP001034,Male,No,1,Not Graduate,No,3596.0,0.0,100.0,240.0,0.8123451000178427,Urban,Y,8.187855443695623,4.61512051684126,5.484796933490655
17,LP001036,Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,N,8.163656176168432,4.343805421853684,5.8888779583328805
18,LP001038,Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,N,8.494538500851432,4.897839799950911,5.8888779583328805
19,LP001041,Male,Yes,0,Graduate,No,2600.0,3500.0,115.0,337.15790783635134,1.0,Urban,Y,7.8636512654486515,4.7535901911063645,5.790495689881986
20,LP001043,Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,N,8.94389780251682,4.653960350157523,5.8888779583328805
21,LP001046,Male,Yes,1,Graduate,No,5955.0,5625.0,315.0,360.0,1.0,Urban,Y,8.6921543938039,5.755742213586912,5.8888779583328805
22,LP001047,Male,Yes,0,Not Graduate,No,2600.0,1911.0,116.0,360.0,0.0,Semiurban,N,7.8636512654486515,4.762173934797756,5.8888779583328805
23,LP001050,Male,Yes,2,Not Graduate,No,3365.0,1917.0,112.0,360.0,0.0,Rural,N,8.121480374750751,4.727387818712341,5.8888779583328805
24,LP001052,Male,Yes,1,Graduate,No,3717.0,2925.0,151.0,360.0,0.7393584512758772,Semiurban,N,8.220941168281389,5.0238805208462765,5.8888779583328805
25,LP001066,Male,Yes,0,Graduate,Yes,9560.0,0.0,191.0,360.0,1.0,Semiurban,Y,9.165447603085447,5.2574953720277815,5.8888779583328805
26,LP001068,Male,Yes,0,Graduate,No,2799.0,2253.0,122.0,360.0,1.0,Semiurban,Y,7.937374696163295,4.812184355372417,5.8888779583328805
27,LP001073,Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,Y,8.34924780056679,4.709530201312334,5.8888779583328805
28,LP001086,Male,No,0,Not Graduate,No,1442.0,0.0,35.0,360.0,1.0,Urban,N,7.274479558773871,3.58351893845611,5.8888779583328805
29,LP001087,Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,Y,8.229777750081887,4.795790545596741,5.8888779583328805
30,LP001091,Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,0.7415873835278501,Urban,N,8.334951631422454,5.308267697401205,5.8888779583328805
31,LP001095,Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,N,8.060855752934316,4.31748811353631,5.8888779583328805
32,LP001097,Male,No,1,Graduate,Yes,4692.0,0.0,106.0,360.0,1.0,Rural,N,8.453827315794417,4.672828834461906,5.8888779583328805
33,LP001098,Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,Y,8.160803920954665,4.74493212836325,5.8888779583328805
34,LP001100,Male,No,3,Graduate,No,12500.0,3000.0,320.0,360.0,1.0,Rural,N,9.433563920090563,5.771441123130016,5.8888779583328805
35,LP001106,Male,Yes,0,Graduate,No,2275.0,2067.0,136.59128327524138,360.0,1.0,Urban,Y,7.730174795246222,4.833305050527591,5.8888779583328805
36,LP001109,Male,Yes,0,Graduate,No,1828.0,1330.0,100.0,343.8096159371671,0.0,Urban,N,7.511524648390866,4.61512051684126,5.815682961086505
37,LP001112,Female,Yes,0,Graduate,No,3667.0,1459.0,144.0,360.0,1.0,Semiurban,Y,8.207401833376355,4.976733742420574,5.8888779583328805
38,LP001114,Male,No,0,Graduate,No,4166.0,7210.0,184.0,360.0,1.0,Urban,Y,8.334951631422454,5.220355825078324,5.8888779583328805
39,LP001116,Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,Y,8.229244416735913,4.709530201312334,5.8888779583328805
40,LP001119,Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,N,8.188966863648876,4.394449154672439,5.8888779583328805
41,LP001120,Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,Y,7.496097345175956,3.871201010907891,5.8888779583328805
